gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,a99-pi3_ej2,0.99,6.832384816349511,0.45,1,0.8133328569258214,0.08552467894903526,1.2319946500373068e-06,-0.12928698808567135,1.8623966742500218e-06,19,-3.9848159448156936e-15
IRG,a99-pi4_ej2,0.99,11.832384816349512,0.45,1,0.8941678469519965,0.05822205818638588,9.631058173968401e-08,-0.07281979560543385,1.2045807199863212e-07,17,6.373749653942543e-17
IRG,a99-pi5_ej2,0.99,21.83238481634951,0.45,1,0.9435814624351874,0.034180213809946694,1.3304868644539058e-07,-0.0383898110640737,1.49434815222699e-07,18,5.736337201192018e-18
IRG,a99-pi6_ej2,0.99,41.83238481634951,0.45,1,0.9709063968554654,0.01850127688331226,7.264976493140371e-08,-0.019626686151217265,7.706895822711986e-08,16,4.437545139442497e-19
IRG,a99-pi7_ej2,0.99,81.83238481634952,0.45,1,0.9852403045564099,0.009613374939723925,2.1265176602471277e-08,-0.009903564658256706,2.190708806972528e-08,18,3.463583538441172e-21
IRG,a99-pi8_ej2,0.99,161.8323848163495,0.45,1,0.992569665699448,0.004896902779713103,5.284659429865174e-09,-0.004970493211845155,5.364077051290217e-09,17,1.1548537605428566e-22
IRG,a99-pi0_ej3,0.99,2.193855751666636,0.6,1,0.408542888839172,250201.87555450134,480439.01052319957,-1499047.0010317902,2878478.254039315,12,-141375593895375.53
IRG,a99-pi1_ej3,0.99,3.093855751666636,0.6,1,0.6253457438890972,0.07121912602157547,0.00025001352461098697,-0.1821194135253559,0.000639327088369019,12,-1.0998415230610096e-10
IRG,a99-pi2_ej3,0.99,4.093855751666636,0.6,1,0.7283953684853278,0.08361324539656804,5.578294901335122e-05,-0.15759438120734742,0.00010513979322277247,13,-4.767211451130811e-12
IRG,a99-pi3_ej3,0.99,7.093855751666636,0.6,1,0.8512529059824506,0.06927078727155472,3.2502981295349508e-06,-0.09559450054407573,4.485449618093586e-06,14,-1.9248452123079818e-14
IRG,a99-pi4_ej3,0.99,12.093855751666636,0.6,1,0.9155910015955671,0.04671649304791281,1.085491028539725e-07,-0.05572719733035998,1.2948611678904973e-07,14,8.631405523213966e-17
IRG,a99-pi5_ej3,0.99,22.093855751666638,0.6,1,0.9549110918777696,0.027378492990360045,2.1524324364816907e-07,-0.03002504475358559,2.3604980835573067e-07,14,1.1013019116011798e-17
IRG,a99-pi6_ej3,0.99,42.09385575166664,0.6,1,0.9767091121371799,0.014824516602902918,1.2010077241841148e-07,-0.015539965915231543,1.2589698266516335e-07,13,1.0120561149589426e-18
IRG,a99-pi7_ej3,0.99,82.09385575166664,0.6,1,0.9881710713879372,0.007707375348977063,3.484975600884173e-08,-0.007893002457239482,3.568908965209433e-08,13,2.083395898278541e-20
IRG,a99-pi8_ej3,0.99,162.09385575166664,0.6,1,0.9940413003890166,0.003927678624861234,1.1975479223088524e-08,-0.003974908057566697,1.2119481608238481e-08,13,1.8752276218748274e-22
